aba	a . b a
kopetsweng	kʼ ʊ . pʼ ɪ . t͡sʼ w ɪ . ŋ
kopile	kʼ ʊ . pʼ i . l ɪ
kopileng	kʼ ʊ . pʼ i . l ɪ . ŋ
kopilwe	kʼ ʊ . pʼ i . l w ɪ
kopilweng	kʼ ʊ . pʼ i . l w ɪ . ŋ
kopisa	kʼ ʊ . pʼ i . s a
kopiwa	kʼ ʊ . pʼ i . w a
kopiwang	kʼ ʊ . pʼ i . w a . ŋ
kopo	kʼ ʊ . pʼ ʊ
kopolola	kʼ ʊ . pʼ ʊ . l ʊ . l a
kopong	kʼ ʊ . pʼ ʊ . ŋ
kopotuelo	kʼ ʊ . pʼ ʊ . tʼ u . ɪ . l ʊ
kora	kʼ ʊ . r a
korong	kʼ ʊ . r ʊ . ŋ
koronnyana	kʼ ʊ . r ʊ . n . ɲ a . n a
kota	kʼ ʊ . tʼ a
kotama	kʼ ʊ . tʼ a . m a
kotame	kʼ ʊ . tʼ a . m ɪ
kotareng	kʼ ʊ . tʼ a . r ɪ . ŋ
kotela	kʼ ʊ . tʼ ɪ . l a
kotlhao	kʼ ʊ . t͡lʰ a . ʊ
kotlhaong	kʼ ʊ . t͡lʰ a . ʊ . ŋ
kotlo	kʼ ʊ . t͡lʼ ʊ
kotsa	kʼ ʊ . t͡sʼ a
kotsi	kʼ ʊ . t͡sʼ i
kotsing	kʼ ʊ . t͡sʼ i . ŋ
kotula	kʼ ʊ . tʼ u . l a
kotulo	kʼ ʊ . tʼ u . l ʊ
kotulwa	kʼ ʊ . tʼ u . l w a
kua	kʼ u . a
kubu	kʼ u . b u
kuela	kʼ u . ɪ . l a
kukama	kʼ u . kʼ a . m a
kukunya	kʼ u . kʼ u . ɲ a
kunameng	kʼ u . n a . m ɪ . ŋ
kunong	kʼ u . n ʊ . ŋ
kuntšhane	kʼ u . n . t͡ʃʰ a . n ɪ
kupe	kʼ u . pʼ ɪ
kuranta	kʼ u . r a . n . tʼ a
kuranteng	kʼ u . r a . n . tʼ ɪ . ŋ
kutleng	kʼ u . t͡lʼ ɪ . ŋ
kutlobotlhoko	kʼ u . t͡lʼ ʊ . b ʊ . t͡lʰ ʊ . kʼ ʊ
kutlo	kʼ u . t͡lʼ ʊ
kutlwalo	kʼ u . t͡lʼ w a . l ʊ
kutlwano	kʼ u . t͡lʼ w a . n ʊ
kutlwanong	kʼ u . t͡lʼ w a . n ʊ . ŋ
kutlwelelo	kʼ u . t͡lʼ w ɪ . l ɪ . l ʊ
kutlwelobotlhoko	kʼ u . t͡lʼ w ɪ . l ʊ . b ʊ . t͡lʰ ʊ . kʼ ʊ
kutlwelo	kʼ u . t͡lʼ w ɪ . l ʊ
kutlwisisano	kʼ u . t͡lʼ w i . s i . s a . n ʊ
kutlwisiso	kʼ u . t͡lʼ w i . s i . s ʊ
kutlwiso	kʼ u . t͡lʼ w i . s ʊ
kutololong	kʼ u . tʼ ʊ . l ʊ . l ʊ . ŋ
kwadi	kʼ w a . d i
kwadile	kʼ w a . d i . l ɪ
kwadileng	kʼ w a . d i . l ɪ . ŋ
kwadilwe	kʼ w a . d i . l w ɪ
kwadilweng	kʼ w a . d i . l w ɪ . ŋ
kwadisa	kʼ w a . d i . s a
kwadisang	kʼ w a . d i . s a . ŋ
kwadiseditswe	kʼ w a . d i . s ɪ . d i . t͡sʼ w ɪ
kwadiseditsweng	kʼ w a . d i . s ɪ . d i . t͡sʼ w ɪ . ŋ
kwadise	kʼ w a . d i . s ɪ
kwadisetsa	kʼ w a . d i . s ɪ . t͡sʼ a
kwadisitse	kʼ w a . d i . s i . t͡sʼ ɪ
kwadisitseng	kʼ w a . d i . s i . t͡sʼ ɪ . ŋ
kwadisitswe	kʼ w a . d i . s i . t͡sʼ w ɪ
kwadisitsweng	kʼ w a . d i . s i . t͡sʼ w ɪ . ŋ
kwadisiwa	kʼ w a . d i . s i . w a
kwadisiwang	kʼ w a . d i . s i . w a . ŋ
kwadisiwe	kʼ w a . d i . s i . w ɪ
kwadiso	kʼ w a . d i . s ʊ
kwadisong	kʼ w a . d i . s ʊ . ŋ
kwadiwa	kʼ w a . d i . w a
kwadiwang	kʼ w a . d i . w a . ŋ
kwa	kʼ w a
kwakwalala	kʼ w a . kʼ w a . l a . l a
kwala	kʼ w a . l a
kwalang	kʼ w a . l a . ŋ
kwale	kʼ w a . l ɪ
kwalela	kʼ w a . l ɪ . l a
kwalelana	kʼ w a . l ɪ . l a . n a
kwalelano	kʼ w a . l ɪ . l a . n ʊ
kwalele	kʼ w a . l ɪ . l ɪ
kwalelokgolo	kʼ w a . l ɪ . l ʊ . k͡x ʊ . l ʊ
kwalelotlotlong	kʼ w a . l ɪ . l ʊ . t͡lʼ ʊ . t͡lʼ ʊ . ŋ
kwalelwa	kʼ w a . l ɪ . l w a
kwalelwe	kʼ w a . l ɪ . l w ɪ
kwaleng	kʼ w a . l ɪ . ŋ
kwaletswe	kʼ w a . l ɪ . t͡sʼ w ɪ
kwaletsweng	kʼ w a . l ɪ . t͡sʼ w ɪ . ŋ
kwalo	kʼ w a . l ʊ
kwalolola	kʼ w a . l ʊ . l ʊ . l a
kwalololo	kʼ w a . l ʊ . l ʊ . l ʊ
kwalong	kʼ w a . l ʊ . ŋ
kwalwa	kʼ w a . l w a
kwalwang	kʼ w a . l w a . ŋ
kwalwe	kʼ w a . l w ɪ
kwalweng	kʼ w a . l w ɪ . ŋ
kwana	kʼ w a . n a
kwano	kʼ w a . n ʊ
kwantle	kʼ w a . n . t͡lʼ ɪ
kwatlhao	kʼ w a . t͡lʰ a . ʊ
kwelotlase	kʼ w ɪ . l ʊ . t͡lʼ a . s ɪ
kwelotlaseng	kʼ w ɪ . l ʊ . t͡lʼ a . s ɪ . ŋ
kwena	kʼ w ɪ . n a
kwetsa	kʼ w ɪ . t͡sʼ a
kwetseng	kʼ w ɪ . t͡sʼ ɪ . ŋ
laeditse	l a . ɪ . d i . t͡sʼ ɪ
laela	l a . ɪ . l a
laelana	l a . ɪ . l a . n a
laelang	l a . ɪ . l a . ŋ
laele	l a . ɪ . l ɪ
laelo	l a . ɪ . l ʊ
laelwa	l a . ɪ . l w a
laelwang	l a . ɪ . l w a . ŋ
laeneng	l a . ɪ . n ɪ . ŋ
laesense	l a . ɪ . s ɪ . n . s ɪ
laesenseng	l a . ɪ . s ɪ . n . s ɪ . ŋ
laetse	l a . ɪ . t͡sʼ ɪ
laetseng	l a . ɪ . t͡sʼ ɪ . ŋ
laetswe	l a . ɪ . t͡sʼ w ɪ
laetsweng	l a . ɪ . t͡sʼ w ɪ . ŋ
lafatsheng	l a . f a . t͡sʰ ɪ . ŋ
laile	l a . i . l ɪ
laisang	l a . i . s a . ŋ
laisitse	l a . i . s i . t͡sʼ ɪ
laisitseng	l a . i . s i . t͡sʼ ɪ . ŋ
laisitsweng	l a . i . s i . t͡sʼ w ɪ . ŋ
lakasela	l a . kʼ a . s ɪ . l a
lala	l a . l a
lalang	l a . l a . ŋ
laleditse	l a . l ɪ . d i . t͡sʼ ɪ
laleditswe	l a . l ɪ . d i . t͡sʼ w ɪ
lalediwa	l a . l ɪ . d i . w a
lalediwang	l a . l ɪ . d i . w a . ŋ
lalela	l a . l ɪ . l a
lale	l a . l ɪ
lalele	l a . l ɪ . l ɪ
laletsa	l a . l ɪ . t͡sʼ a
laletsang	l a . l ɪ . t͡sʼ a . ŋ
laletse	l a . l ɪ . t͡sʼ ɪ
laletseng	l a . l ɪ . t͡sʼ ɪ . ŋ
lamatlhatso	l a . m a . t͡lʰ a . t͡sʼ ʊ
lanane	l a . n a . n ɪ
lang	l a . ŋ
laola	l a . ʊ . l a
laolang	l a . ʊ . l a . ŋ
laolega	l a . ʊ . l ɪ . x a
laolegang	l a . ʊ . l ɪ . x a . ŋ
laolege	l a . ʊ . l ɪ . x ɪ
laolegeng	l a . ʊ . l ɪ . x ɪ . ŋ
laolela	l a . ʊ . l ɪ . l a
laole	l a . ʊ . l ɪ
laolelwa	l a . ʊ . l ɪ . l w a
laolelwang	l a . ʊ . l ɪ . l w a . ŋ
laoleng	l a . ʊ . l ɪ . ŋ
laolesegang	l a . ʊ . l ɪ . s ɪ . x a . ŋ
laolesegeng	l a . ʊ . l ɪ . s ɪ . x ɪ . ŋ
laoletswe	l a . ʊ . l ɪ . t͡sʼ w ɪ
laoletsweng	l a . ʊ . l ɪ . t͡sʼ w ɪ . ŋ
laolo	l a . ʊ . l ʊ
laolwa	l a . ʊ . l w a
laolwang	l a . ʊ . l w a . ŋ
laolwe	l a . ʊ . l w ɪ
laolweng	l a . ʊ . l w ɪ . ŋ
laotswe	l a . ʊ . t͡sʼ w ɪ
laotsweng	l a . ʊ . t͡sʼ w ɪ . ŋ
lapa	l a . pʼ a
lapeng	l a . pʼ ɪ . ŋ
lapile	l a . pʼ i . l ɪ
lapisa	l a . pʼ i . s a
lapisitswe	l a . pʼ i . s i . t͡sʼ w ɪ
lata	l a . tʼ a
latedisa	l a . tʼ ɪ . d i . s a
latedisanya	l a . tʼ ɪ . d i . s a . ɲ a
latedisiwa	l a . tʼ ɪ . d i . s i . w a
latela	l a . tʼ ɪ . l a
latelana	l a . tʼ ɪ . l a . n a
latelanang	l a . tʼ ɪ . l a . n a . ŋ
latelang	l a . tʼ ɪ . l a . ŋ
latelanya	l a . tʼ ɪ . l a . ɲ a
latelela	l a . tʼ ɪ . l ɪ . l a
latele	l a . tʼ ɪ . l ɪ
latelelela	l a . tʼ ɪ . l ɪ . l ɪ . l a
lateleng	l a . tʼ ɪ . l ɪ . ŋ
latelwa	l a . tʼ ɪ . l w a
latelwang	l a . tʼ ɪ . l w a . ŋ
latelwe	l a . tʼ ɪ . l w ɪ
latetse	l a . tʼ ɪ . t͡sʼ ɪ
latetseng	l a . tʼ ɪ . t͡sʼ ɪ . ŋ
latetswe	l a . tʼ ɪ . t͡sʼ w ɪ
latetsweng	l a . tʼ ɪ . t͡sʼ w ɪ . ŋ
latlhaganya	l a . t͡lʰ a . x a . ɲ a
latlha	l a . t͡lʰ a
latlhang	l a . t͡lʰ a . ŋ
latlhega	l a . t͡lʰ ɪ . x a
latlhegang	l a . t͡lʰ ɪ . x a . ŋ
latlhegela	l a . t͡lʰ ɪ . x ɪ . l a
latlhege	l a . t͡lʰ ɪ . x ɪ
latlhegelwa	l a . t͡lʰ ɪ . x ɪ . l w a
latlhegelwang	l a . t͡lʰ ɪ . x ɪ . l w a . ŋ
latlhegelwe	l a . t͡lʰ ɪ . x ɪ . l w ɪ
latlhegetseng	l a . t͡lʰ ɪ . x ɪ . t͡sʼ ɪ . ŋ
latlhegetswe	l a . t͡lʰ ɪ . x ɪ . t͡sʼ w ɪ
latlhegetsweng	l a . t͡lʰ ɪ . x ɪ . t͡sʼ w ɪ . ŋ
latlhegile	l a . t͡lʰ ɪ . x i . l ɪ
latlhegileng	l a . t͡lʰ ɪ . x i . l ɪ . ŋ
latlhela	l a . t͡lʰ ɪ . l a
latlhe	l a . t͡lʰ ɪ
latlhele	l a . t͡lʰ ɪ . l ɪ
latlhelwa	l a . t͡lʰ ɪ . l w a
latlhetseng	l a . t͡lʰ ɪ . t͡sʼ ɪ . ŋ
latlhetswe	l a . t͡lʰ ɪ . t͡sʼ w ɪ
latlhetsweng	l a . t͡lʰ ɪ . t͡sʼ w ɪ . ŋ
latlhilwe	l a . t͡lʰ i . l w ɪ
latlhilweng	l a . t͡lʰ i . l w ɪ . ŋ
latlhisa	l a . t͡lʰ i . s a
latlhiwa	l a . t͡lʰ i . w a
latlhiwang	l a . t͡lʰ i . w a . ŋ
latlhiwe	l a . t͡lʰ i . w ɪ
latlhiweng	l a . t͡lʰ i . w ɪ . ŋ
latlhwa	l a . t͡lʰ w a
latofaditswe	l a . tʼ ʊ . f a . d i . t͡sʼ w ɪ
latofaditsweng	l a . tʼ ʊ . f a . d i . t͡sʼ w ɪ . ŋ
latofadiwa	l a . tʼ ʊ . f a . d i . w a
latofadiwang	l a . tʼ ʊ . f a . d i . w a . ŋ
latofadiwe	l a . tʼ ʊ . f a . d i . w ɪ
latofalediwa	l a . tʼ ʊ . f a . l ɪ . d i . w a
latofatsa	l a . tʼ ʊ . f a . t͡sʼ a
latofatsang	l a . tʼ ʊ . f a . t͡sʼ a . ŋ
latofatse	l a . tʼ ʊ . f a . t͡sʼ ɪ
latsa	l a . t͡sʼ a
latshekelo	l a . t͡sʰ ɪ . kʼ ɪ . l ʊ
latswa	l a . t͡sʼ w a
latswega	l a . t͡sʼ w ɪ . x a
latswitswe	l a . t͡sʼ w i . t͡sʼ w ɪ
laya	l a . j a
leago	l ɪ . a . x ʊ
leana	l ɪ . a . n a
leano	l ɪ . a . n ʊ
leanong	l ɪ . a . n ʊ . ŋ
leanothulaganyo	l ɪ . a . n ʊ . tʰ u . l a . x a . ɲ ʊ
lebadi	l ɪ . b a . d i
lebagana	l ɪ . b a . x a . n a
lebagane	l ɪ . b a . x a . n ɪ
lebaganeng	l ɪ . b a . x a . n ɪ . ŋ
lebaganwe	l ɪ . b a . x a . n w ɪ
lebaganweng	l ɪ . b a . x a . n w ɪ . ŋ
lebaganya	l ɪ . b a . x a . ɲ a
lebaibai	l ɪ . b a . i . b a . i
lebaka	l ɪ . b a . kʼ a
lebakeng	l ɪ . b a . kʼ ɪ . ŋ
lebala	l ɪ . b a . l a
leba	l ɪ . b a
lebaleba	l ɪ . b a . l ɪ . b a
lebale	l ɪ . b a . l ɪ
lebaleng	l ɪ . b a . l ɪ . ŋ
lebalwa	l ɪ . b a . l w a
lebalwe	l ɪ . b a . l w ɪ
lebalweng	l ɪ . b a . l w ɪ . ŋ
lebana	l ɪ . b a . n a
lebanang	l ɪ . b a . n a . ŋ
lebane	l ɪ . b a . n ɪ
lebaneng	l ɪ . b a . n ɪ . ŋ
lebang	l ɪ . b a . ŋ
lebanta	l ɪ . b a . n . tʼ a
lebanweng	l ɪ . b a . n w ɪ . ŋ
lebanyeng	l ɪ . b a . ɲ ɪ . ŋ
lebanywe	l ɪ . b a . ɲ w ɪ
lebati	l ɪ . b a . tʼ i
lebating	l ɪ . b a . tʼ i . ŋ
lebato	l ɪ . b a . tʼ ʊ
lebatsa	l ɪ . b a . t͡sʼ a
lebega	l ɪ . b ɪ . x a
lebegang	l ɪ . b ɪ . x a . ŋ
lebege	l ɪ . b ɪ . x ɪ
lebela	l ɪ . b ɪ . l a
lebe	l ɪ . b ɪ
lebelela	l ɪ . b ɪ . l ɪ . l a
lebelelang	l ɪ . b ɪ . l ɪ . l a . ŋ
lebelele	l ɪ . b ɪ . l ɪ . l ɪ
lebelelo	l ɪ . b ɪ . l ɪ . l ʊ
lebelelwa	l ɪ . b ɪ . l ɪ . l w a
lebelelwang	l ɪ . b ɪ . l ɪ . l w a . ŋ
lebelelwe	l ɪ . b ɪ . l ɪ . l w ɪ
lebeletse	l ɪ . b ɪ . l ɪ . t͡sʼ ɪ
lebeletseng	l ɪ . b ɪ . l ɪ . t͡sʼ ɪ . ŋ
lebeletswe	l ɪ . b ɪ . l ɪ . t͡sʼ w ɪ
lebeletsweng	l ɪ . b ɪ . l ɪ . t͡sʼ w ɪ . ŋ
lebelo	l ɪ . b ɪ . l ʊ
lebelong	l ɪ . b ɪ . l ʊ . ŋ
lebelwa	l ɪ . b ɪ . l w a
lebenkele	l ɪ . b ɪ . n . kʼ ɪ . l ɪ
lebenkeleng	l ɪ . b ɪ . n . kʼ ɪ . l ɪ . ŋ
lebenkelenyana	l ɪ . b ɪ . n . kʼ ɪ . l ɪ . ɲ a . n a
lebentlele	l ɪ . b ɪ . n . t͡lʼ ɪ . l ɪ
lebentleleng	l ɪ . b ɪ . n . t͡lʼ ɪ . l ɪ . ŋ
lebesisa	l ɪ . b ɪ . s i . s a
lebesitse	l ɪ . b ɪ . s i . t͡sʼ ɪ
lebete	l ɪ . b ɪ . tʼ ɪ
lebetse	l ɪ . b ɪ . t͡sʼ ɪ
lebile	l ɪ . b i . l ɪ
lebileng	l ɪ . b i . l ɪ . ŋ
lebilwe	l ɪ . b i . l w ɪ
lebilweng	l ɪ . b i . l w ɪ . ŋ
lebisa	l ɪ . b i . s a
lebisang	l ɪ . b i . s a . ŋ
lebiseditswe	l ɪ . b i . s ɪ . d i . t͡sʼ w ɪ
lebise	l ɪ . b i . s ɪ
lebisetse	l ɪ . b i . s ɪ . t͡sʼ ɪ
lebisisa	l ɪ . b i . s i . s a
lebisitse	l ɪ . b i . s i . t͡sʼ ɪ
lebisitswe	l ɪ . b i . s i . t͡sʼ w ɪ
lebisitsweng	l ɪ . b i . s i . t͡sʼ w ɪ . ŋ
lebisiwa	l ɪ . b i . s i . w a
lebisiwang	l ɪ . b i . s i . w a . ŋ
lebisiwe	l ɪ . b i . s i . w ɪ
lebitla	l ɪ . b i . t͡lʼ a
lebitleng	l ɪ . b i . t͡lʼ ɪ . ŋ
lebiwa	l ɪ . b i . w a
leboga	l ɪ . b ʊ . x a
lebogela	l ɪ . b ʊ . x ɪ . l a
lebogelang	l ɪ . b ʊ . x ɪ . l a . ŋ
leboge	l ɪ . b ʊ . x ɪ
lebogele	l ɪ . b ʊ . x ɪ . l ɪ
lebogetse	l ɪ . b ʊ . x ɪ . t͡sʼ ɪ
lebogile	l ɪ . b ʊ . x i . l ɪ
lebogisiwa	l ɪ . b ʊ . x i . s i . w a
lebogo	l ɪ . b ʊ . x ʊ
leboko	l ɪ . b ʊ . kʼ ʊ
lebokosong	l ɪ . b ʊ . kʼ ʊ . s ʊ . ŋ
lebolelamading	l ɪ . b ʊ . l ɪ . l a . m a . d i . ŋ
lebolelateng	l ɪ . b ʊ . l ɪ . l a . tʼ ɪ . ŋ
lebolelatengmogopolo	l ɪ . b ʊ . l ɪ . l a . tʼ ɪ . ŋ . m ʊ . x ʊ . pʼ ʊ . l ʊ
lebole	l ɪ . b ʊ . l ɪ
lebolobolo	l ɪ . b ʊ . l ʊ . b ʊ . l ʊ
lebone	l ɪ . b ʊ . n ɪ
leboneng	l ɪ . b ʊ . n ɪ . ŋ
lebopo	l ɪ . b ʊ . pʼ ʊ
lebopong	l ɪ . b ʊ . pʼ ʊ . ŋ
lebota	l ɪ . b ʊ . tʼ a
leboteng	l ɪ . b ʊ . tʼ ɪ . ŋ
lebotho	l ɪ . b ʊ . tʰ ʊ
lebotlele	l ɪ . b ʊ . t͡lʼ ɪ . l ɪ
lebotlolo	l ɪ . b ʊ . t͡lʼ ʊ . l ʊ
lebotlolong	l ɪ . b ʊ . t͡lʼ ʊ . l ʊ . ŋ
ledi	l ɪ . d i
ledimo	l ɪ . d i . m ʊ
lediri	l ɪ . d i . r i
lediterama	l ɪ . d i . tʼ ɪ . r a . m a
leditse	l ɪ . d i . t͡sʼ ɪ
leditseng	l ɪ . d i . t͡sʼ ɪ . ŋ
leeba	l ɪ . ɪ . b a
leelefala	l ɪ . ɪ . l ɪ . f a . l a
leelefatsa	l ɪ . ɪ . l ɪ . f a . t͡sʼ a
leele	l ɪ . ɪ . l ɪ
lefa	l ɪ . f a
lefapha	l ɪ . f a . pʰ a
lefapheng	l ɪ . f a . pʰ ɪ . ŋ
lefatshe	l ɪ . f a . t͡sʰ ɪ
lefatsheng	l ɪ . f a . t͡sʰ ɪ . ŋ
lefatshenyana	l ɪ . f a . t͡sʰ ɪ . ɲ a . n a
lefeelo	l ɪ . f ɪ . ɪ . l ʊ
lefela	l ɪ . f ɪ . l a
lefe	l ɪ . f ɪ
lefelobonno	l ɪ . f ɪ . l ʊ . b ʊ . n . n ʊ
lefelokgang	l ɪ . f ɪ . l ʊ . k͡x a . ŋ
lefelo	l ɪ . f ɪ . l ʊ
lefelong	l ɪ . f ɪ . l ʊ . ŋ
lefelotiro	l ɪ . f ɪ . l ʊ . tʼ i . r ʊ
lefelotirong	l ɪ . f ɪ . l ʊ . tʼ i . r ʊ . ŋ
lefelwa	l ɪ . f ɪ . l w a
leferefere	l ɪ . f ɪ . r ɪ . f ɪ . r ɪ
lefetiso	l ɪ . f ɪ . tʼ i . s ʊ
lefetlho	l ɪ . f ɪ . t͡lʰ ʊ
lefetwa	l ɪ . f ɪ . tʼ w a
lefifi	l ɪ . f i . f i
lefifing	l ɪ . f i . f i . ŋ
lefika	l ɪ . f i . kʼ a
lefikantswe	l ɪ . f i . kʼ a . n . t͡sʼ w ɪ
lefisa	l ɪ . f i . s a
lefisiwa	l ɪ . f i . s i . w a
lefisiwang	l ɪ . f i . s i . w a . ŋ
lefitiso	l ɪ . f i . tʼ i . s ʊ
lefitshwana	l ɪ . f i . t͡sʰ w a . n a
lefoko	l ɪ . f ʊ . kʼ ʊ
lefokong	l ɪ . f ʊ . kʼ ʊ . ŋ
lefufa	l ɪ . f u . f a
lefureng	l ɪ . f u . r ɪ . ŋ
legaba	l ɪ . x a . b a
legae	l ɪ . x a . ɪ
legaeng	l ɪ . x a . ɪ . ŋ
legakabe	l ɪ . x a . kʼ a . b ɪ
legala	l ɪ . x a . l a
legale	l ɪ . x a . l ɪ
legano	l ɪ . x a . n ʊ
leganong	l ɪ . x a . n ʊ . ŋ
legare	l ɪ . x a . r ɪ
legata	l ɪ . x a . tʼ a
legatlapa	l ɪ . x a . t͡lʼ a . pʼ a
legatong	l ɪ . x a . tʼ ʊ . ŋ
legetla	l ɪ . x ɪ . t͡lʼ a
legetleng	l ɪ . x ɪ . t͡lʼ ɪ . ŋ
legodimo	l ɪ . x ʊ . d i . m ʊ
legodimong	l ɪ . x ʊ . d i . m ʊ . ŋ
legodu	l ɪ . x ʊ . d u
legofi	l ɪ . x ʊ . f i
legogo	l ɪ . x ʊ . x ʊ
legoleng	l ɪ . x ʊ . l ɪ . ŋ
lego	l ɪ . x ʊ
legolo	l ɪ . x ʊ . l ʊ
legolong	l ɪ . x ʊ . l ʊ . ŋ
legong	l ɪ . x ʊ . ŋ
legonnyana	l ɪ . x ʊ . n . ɲ a . n a
legora	l ɪ . x ʊ . r a
legoreng	l ɪ . x ʊ . r ɪ . ŋ
legoro	l ɪ . x ʊ . r ʊ
legorong	l ɪ . x ʊ . r ʊ . ŋ
legotlo	l ɪ . x ʊ . t͡lʼ ʊ
lehibidu	l ɪ . h i . b i . d u
lehuma	l ɪ . h u . m a
lehumeng	l ɪ . h u . m ɪ . ŋ
lehumo	l ɪ . h u . m ʊ
lehuting	l ɪ . h u . tʼ i . ŋ
leina	l ɪ . i . n a
leineng	l ɪ . i . n ɪ . ŋ
leitibolo	l ɪ . i . tʼ i . b ʊ . l ʊ
leitlho	l ɪ . i . t͡lʰ ʊ
lejwa	l ɪ . d͡ʒ w a
lejwe	l ɪ . d͡ʒ w ɪ
lekaba	l ɪ . kʼ a . b a
lekala	l ɪ . kʼ a . l a
leka	l ɪ . kʼ a
lekalekana	l ɪ . kʼ a . l ɪ . kʼ a . n a
lekalekanang	l ɪ . kʼ a . l ɪ . kʼ a . n a . ŋ
lekalekane	l ɪ . kʼ a . l ɪ . kʼ a . n ɪ
lekalekaneng	l ɪ . kʼ a . l ɪ . kʼ a . n ɪ . ŋ
lekalekanngwa	l ɪ . kʼ a . l ɪ . kʼ a . n . ŋ w a
lekalekanngwang	l ɪ . kʼ a . l ɪ . kʼ a . n . ŋ w a . ŋ
lekalekantshitsweng	l ɪ . kʼ a . l ɪ . kʼ a . n . t͡sʰ i . t͡sʼ w ɪ . ŋ
lekalekanya	l ɪ . kʼ a . l ɪ . kʼ a . ɲ a
lekalekanyang	l ɪ . kʼ a . l ɪ . kʼ a . ɲ a . ŋ
lekaleng	l ɪ . kʼ a . l ɪ . ŋ
lekana	l ɪ . kʼ a . n a
lekanang	l ɪ . kʼ a . n a . ŋ
lekanela	l ɪ . kʼ a . n ɪ . l a
lekanelang	l ɪ . kʼ a . n ɪ . l a . ŋ
lekane	l ɪ . kʼ a . n ɪ
lekaneng	l ɪ . kʼ a . n ɪ . ŋ
lekanetse	l ɪ . kʼ a . n ɪ . t͡sʼ ɪ
lekanetseng	l ɪ . kʼ a . n ɪ . t͡sʼ ɪ . ŋ
lekang	l ɪ . kʼ a . ŋ
lekanngwa	l ɪ . kʼ a . n . ŋ w a
lekantsha	l ɪ . kʼ a . n . t͡sʰ a
lekantshang	l ɪ . kʼ a . n . t͡sʰ a . ŋ
lekantshaseti	l ɪ . kʼ a . n . t͡sʰ a . s ɪ . tʼ i
lekantshiwa	l ɪ . kʼ a . n . t͡sʰ i . w a
lekantswe	l ɪ . kʼ a . n . t͡sʼ w ɪ
lekantsweng	l ɪ . kʼ a . n . t͡sʼ w ɪ . ŋ
lekanya	l ɪ . kʼ a . ɲ a
lekanyang	l ɪ . kʼ a . ɲ a . ŋ
lekanyeditswe	l ɪ . kʼ a . ɲ ɪ . d i . t͡sʼ w ɪ
lekanyeditsweng	l ɪ . kʼ a . ɲ ɪ . d i . t͡sʼ w ɪ . ŋ
lekanyediwa	l ɪ . kʼ a . ɲ ɪ . d i . w a
lekanyediwang	l ɪ . kʼ a . ɲ ɪ . d i . w a . ŋ
lekanyediwe	l ɪ . kʼ a . ɲ ɪ . d i . w ɪ
lekanye	l ɪ . kʼ a . ɲ ɪ
lekanyeng	l ɪ . kʼ a . ɲ ɪ . ŋ
lekanyetsakgotsa	l ɪ . kʼ a . ɲ ɪ . t͡sʼ a . k͡x ʊ . t͡sʼ a
lekanyetsa	l ɪ . kʼ a . ɲ ɪ . t͡sʼ a
lekanyetsang	l ɪ . kʼ a . ɲ ɪ . t͡sʼ a . ŋ
lekanyetse	l ɪ . kʼ a . ɲ ɪ . t͡sʼ ɪ
lekanyetseng	l ɪ . kʼ a . ɲ ɪ . t͡sʼ ɪ . ŋ
lekanyetswa	l ɪ . kʼ a . ɲ ɪ . t͡sʼ w a
lekanyetswang	l ɪ . kʼ a . ɲ ɪ . t͡sʼ w a . ŋ
lekanyetswe	l ɪ . kʼ a . ɲ ɪ . t͡sʼ w ɪ
lekape	l ɪ . kʼ a . pʼ ɪ
lekase	l ɪ . kʼ a . s ɪ
lekau	l ɪ . kʼ a . u
lekawana	l ɪ . kʼ a . w a . n a
lekawaneng	l ɪ . kʼ a . w a . n ɪ . ŋ
lekeleditswe	l ɪ . kʼ ɪ . l ɪ . d i . t͡sʼ w ɪ
lekelediwa	l ɪ . kʼ ɪ . l ɪ . d i . w a
lekelekaneng	l ɪ . kʼ ɪ . l ɪ . kʼ a . n ɪ . ŋ
leke	l ɪ . kʼ ɪ
lekelela	l ɪ . kʼ ɪ . l ɪ . l a
lekelelwa	l ɪ . kʼ ɪ . l ɪ . l w a
lekeletsa	l ɪ . kʼ ɪ . l ɪ . t͡sʼ a
lekeng	l ɪ . kʼ ɪ . ŋ
lekese	l ɪ . kʼ ɪ . s ɪ
leketlhang	l ɪ . kʼ ɪ . t͡lʰ a . ŋ
lekgabana	l ɪ . k͡x a . b a . n a
lekgalagadi	l ɪ . k͡x a . l a . x a . d i
lekgarebe	l ɪ . k͡x a . r ɪ . b ɪ
lekgethokakaretso	l ɪ . k͡x ɪ . tʰ ʊ . kʼ a . kʼ a . r ɪ . t͡sʼ ʊ
lekgetho	l ɪ . k͡x ɪ . tʰ ʊ
lekgethong	l ɪ . k͡x ɪ . tʰ ʊ . ŋ
lekgethothekiso	l ɪ . k͡x ɪ . tʰ ʊ . tʰ ɪ . kʼ i . s ʊ
lekgethwana	l ɪ . k͡x ɪ . tʰ w a . n a
lekgetlho	l ɪ . k͡x ɪ . t͡lʰ ʊ
lekgetlo	l ɪ . k͡x ɪ . t͡lʼ ʊ
lekgeto	l ɪ . k͡x ɪ . tʼ ʊ
lekgoba	l ɪ . k͡x ʊ . b a
lekgolo	l ɪ . k͡x ʊ . l ʊ
lekgotla	l ɪ . k͡x ʊ . t͡lʼ a
lekgotlana	l ɪ . k͡x ʊ . t͡lʼ a . n a
