ababalulekile	ababa{lulek}ile
njengokomthetho	njengok{omthetho}
njengokuba	njengoku{ba}
njengokubaluleka	njengoku{baluleka}
njengokubalulekile	njengoku{balulekile}
njengokubeka	njengoku{beka}
njengokubhekisa	njengoku{bhekisa}
njengokubola	njengoku{bola}
njengokubulala	njengoku{bulala}
njengokucela	njengoku{cela}
njengokudla	njengoku{dla}
njengokufanele	njengoku{fanele}
njengokufika	njengoku{fika}
njengokufuna	njengoku{funa}
njengokufunda	njengoku{funda}
njengokuhamba	njengoku{hamba}
njengokuhambisana	njengoku{hambis}ana
njengokuhlanza	njengoku{hlanza}
njengokuhlunyezwa	njengoku{hlunyezwa}
njengokujwayelekile	njengoku{jwayelekile}
njengokukhishwa	njengoku{khishwa}
njengokukhishwe	njengoku{khishwe}
njengokulandela	njengoku{landela}
njengokulandelayo	njengoku{landelayo}
njengokulandisa	njengoku{landisa}
njengokulimala	njengoku{limala}
njengokulindelekile	njengoku{lindelekile}
njengokulingana	njengoku{ling}ana
njengokulungisa	njengoku{lungisa}
njengokumelelwa	njengoku{melelwa}
njengokungekho	njengoku{ngekho}
njengokunika	njengoku{nika}
njengokunikeza	njengoku{nikeza}
njengokunye	njengoku{nye}
njengokuphatha	njengoku{phatha}
njengokuphawula	njengoku{phawula}
njengokuphikisana	njengoku{phikis}ana
njengokuphimisa	njengoku{phimisa}
njengokuphuza	njengoku{phuza}
njengokuqala	njengoku{qala}
njengokuqedwa	njengoku{qedwa}
njengokuqhakambisa	njengoku{qhakambisa}
njengokuqondwe	njengoku{qondwe}
njengokuqukethwe	njengoku{qukethwe}
njengokusebenza	njengoku{sebenza}
njengokusebenzisa	njengoku{sebenzisa}
njengokusemqoka	njengoku{semqoka}
njengokusetshenziswa	njengoku{setshenziswa}
njengokushintsha	njengoku{shintsha}
njengokusho	njengoku{sho}
njengokusiza	njengoku{siza}
njengokuthatha	njengoku{thatha}
njengokuthela	njengoku{thela}
njengokuthi	njengoku{thi}
njengokuthola	njengoku{thola}
njengokuthukuthela	njengoku{thukuthela}
njengokuthuthukisa	njengoku{thuthukisa}
njengokuvamile	njengoku{vamile}
njengokuvuma	njengoku{vuma}
njengokuxhumana	njengoku{xhum}ana
njengokuyala	njengoku{yala}
njengokuyalela	njengoku{yalela}
njengokuyikho	njengoku{yikho}
njengokwakha	njengokw{akha}
njengokwakhiwa	njengokw{akhiwa}
njengokwedluliswa	njengokw{edluliswa}
njengokwehluleka	njengokw{ehluleka}
njengokwejwayelekile	njengokw{ejwayelekile}
njengokwenza	njengokw{enza}
njengokwenziwa	njengokw{enziwa}
njengokwenziwe	njengokw{enziwe}
njengokwesigaba	njengokw{esigaba}
njengokwesithembiso	njengokw{esithembiso}
njengolwazi	njengolw{azi}
njengomasipala	njengoma{sipala}
njengomfundi	njengom{fundi}
njengomfundisi	njengom{fundisi}
njengomgwamanda	njengom{gwamanda}
njengomhlahlandlela	njengom{hlahlandlela}
njengomkhandlu	njengom{khandlu}
njengomkhombandlela	njengom{khombandlela}
njengomlando	njengom{lando}
njengomphakathi	njengom{phakathi}
njengomphathi	njengom{phathi}
njengomphumela	njengom{phumela}
njengomsebenzi	njengom{sebenzi}
njengomsebenzisi	njengom{sebenzisi}
njengomthelela	njengom{thelela}
njengomthetho	njengom{thetho}
njengomthuthi	njengom{thuthi}
njengomuntu	njengomu{ntu}
njengomunye	njengomu{nye}
njengonyaka	njengon{yaka}
njengothisha	njengo{thisha}
njo	n{jo}
nki	n{ki}
nkolotshe	n{kolotsh}e
nkosazana	n{kosaz}ana
nkosazane	n{kosaz}ane
nkosikazi	n{kosi}kazi
nkosi	n{kosi}
nobaba	noba{ba}
nobabili	noba{bili}
nobani	noba{ni}
nobudala	nobu{dala}
nobuhlanga	nobu{hlanga}
nobuhlobo	nobu{hlobo}
nobumnandi	nobu{mnandi}
nobunzima	nobu{nzima}
nobusebenza	nobu{sebenza}
nochitha	no{chitha}
nodokotela	no{dokotela}
nohambisana	no{hambis}ana
nohambo	no{hambo}
nohlala	no{hlala}
nohlangothi	no{hlangothi}
nohlelomsebenzi	no{hlelomsebenzi}
nohlelo	no{hlelo}
nohluphile	n{ohluph}ile
nohulumeni	no{hulumeni}
nokho	nok{ho}
nokokugcina	nok{okugcina}
nokubakhona	noku{bakhona}
nokubala	noku{bala}
nokubaleka	noku{baleka}
nokubaluleka	noku{baluleka}
nokubalulekile	noku{balulekile}
nokubalungiselela	noku{balungiselela}
nokubalwa	noku{balwa}
nokubamba	noku{bamba}
nokubambisana	noku{bambis}ana
nokubanda	noku{banda}
nokubandlulula	noku{bandlulula}
nokubanga	noku{banga}
nokubanika	noku{banika}
nokuba	noku{ba}
nokubasemthethweni	noku{basemthethweni}
nokubeka	noku{beka}
nokubekela	noku{bekela}
nokubenza	noku{benza}
nokubhala	noku{bhala}
nokubhalisa	noku{bhalisa}
nokubhaliswa	noku{bhaliswa}
nokubhaliwe	noku{bhaliwe}
nokubhalwa	noku{bhalwa}
nokubhekana	noku{bhek}ana
nokubheka	noku{bheka}
nokubhekela	noku{bhekela}
nokubhekelela	noku{bhekelela}
nokubhekelelwa	noku{bhekelelwa}
nokubhekelwa	noku{bhekelwa}
nokubi	noku{bi}
nokubonakala	noku{bonakala}
nokubonakalayo	noku{bonakalayo}
nokubonana	noku{bon}ana
nokubona	noku{bona}
nokubonela	noku{bonela}
nokubonelela	noku{bonelela}
nokubonelelwa	noku{bonelelwa}
nokubonga	noku{bonga}
nokubonisana	noku{bonis}ana
nokubonisa	noku{bonisa}
nokuboniswa	noku{boniswa}
nokubudlelwane	noku{budlelw}ane
nokubuka	noku{buka}
nokubumba	noku{bumba}
nokubuswa	noku{buswa}
nokubuthana	noku{buth}ana
nokubuye	noku{buye}
nokubuza	noku{buza}
nokucabanga	noku{cabanga}
nokucabangela	noku{cabangela}
nokucabangisisa	noku{cabangisisa}
nokuchaza	noku{chaza}
nokuchazela	noku{chazela}
nokuchazwa	noku{chazwa}
nokuchitha	noku{chitha}
nokuchitheka	noku{chitheka}
nokucubungula	noku{cubungula}
nokudala	noku{dala}
nokudinga	noku{dinga}
nokudingeka	noku{dingeka}
nokudingekayo	noku{dingekayo}
nokudlala	noku{dlala}
nokudla	noku{dla}
nokudlela	noku{dlela}
nokudlulela	noku{dlulela}
nokudlulisela	noku{dlulisela}
nokudluliselwa	noku{dluliselwa}
nokufaka	noku{faka}
nokufakela	noku{fakela}
nokufakelela	noku{fakelela}
nokufakele	noku{fakele}
nokufakelwa	noku{fakelwa}
nokufanana	noku{fan}ana
nokufana	noku{f}ana
nokufanela	noku{fanela}
nokufaneleka	noku{faneleka}
nokufanelekile	noku{fanelekile}
nokufanele	noku{fanele}
nokufa	noku{fa}
nokufezeka	noku{fezeka}
nokufezwa	noku{fezwa}
nokufika	noku{fika}
nokufinyelela	noku{finyelela}
nokufinyeleleka	noku{finyeleleka}
nokufinyelelwa	noku{finyelelwa}
nokufisa	noku{fisa}
nokufuna	noku{funa}
nokufunda	noku{funda}
nokufundela	noku{fundela}
nokufundisa	noku{fundisa}
nokufundiswa	noku{fundiswa}
nokufundwa	noku{fundwa}
nokufundwayo	noku{fundwayo}
nokufunekayo	noku{funekayo}
nokufutha	noku{futha}
nokugcina	noku{gcina}
nokugcineka	noku{gcineka}
nokugcizelela	noku{gcizelela}
nokugcizelelwa	noku{gcizelelwa}
nokugula	noku{gula}
nokugunda	noku{gunda}
nokuguquka	noku{guquka}
nokuguqukisa	noku{guqukisa}
nokuhamba	noku{hamba}
nokuhambisana	noku{hambis}ana
nokuhambisa	noku{hambisa}
nokuhlaba	noku{hlaba}
nokuhlahla	noku{hlahla}
nokuhlala	noku{hlala}
nokuhlalisana	noku{hlalis}ana
nokuhlangabezana	noku{hlangabez}ana
nokuhlangana	noku{hlang}ana
nokuhlanganisa	noku{hlanganisa}
nokuhlanganiswa	noku{hlanganiswa}
nokuhlanganyela	noku{hlanganyela}
nokuhlangene	noku{hlangene}
nokuhlanza	noku{hlanza}
nokuhlanzeka	noku{hlanzeka}
nokuhlela	noku{hlela}
nokuhleleka	noku{hleleka}
nokuhlelela	noku{hlelela}
nokuhlelelwa	noku{hlelelwa}
nokuhlelwa	noku{hlelwa}
nokuhlola	noku{hlola}
nokuhlolwa	noku{hlolwa}
nokuhlonishwa	noku{hlonishwa}
nokuhlukahlukana	noku{hlukahluk}ana
nokuhlukana	noku{hluk}ana
nokuhlukanisa	noku{hlukanisa}
nokuhlukaniswa	noku{hlukaniswa}
nokuhluka	noku{hluka}
nokuhluleka	noku{hluleka}
nokuhlumelelisa	noku{hlumelelisa}
nokuhlunga	noku{hlunga}
nokuhlupheka	noku{hlupheka}
nokujiya	noku{jiya}
nokujula	noku{jula}
nokujulile	noku{julile}
nokujuluka	noku{juluka}
nokujwayela	noku{jwayela}
nokujwayelekile	noku{jwayelekile}
nokukhala	noku{khala}
nokukhandleka	noku{khandleka}
nokukhathala	noku{khathala}
nokukhethwa	noku{khethwa}
nokukhipha	noku{khipha}
nokukhishwa	noku{khishwa}
nokukhohlwa	noku{khohlwa}
nokukholelwa	noku{kholelwa}
nokukhomba	noku{khomba}
nokukhombisa	noku{khombisa}
nokukhula	noku{khula}
nokukhulelwa	noku{khulelwa}
nokukhulula	noku{khulula}
nokukhululeka	noku{khululeka}
nokukhululwa	noku{khululwa}
nokukhuluma	noku{khuluma}
nokukhulumisana	noku{khulumis}ana
nokukhulumisa	noku{khulumisa}
nokukhulu	noku{khulu}
nokukhulunywa	noku{khulunywa}
nokukhuluphala	noku{khuluphala}
nokukhumbula	noku{khumbula}
nokukhuphuka	noku{khuphuka}
nokukhuphula	noku{khuphula}
nokukhuthazwa	noku{khuthazwa}
nokukwenza	noku{kwenza}
nokulindela	noku{lindela}
nokulindelekile	noku{lindelekile}
nokulindelwe	noku{lindelwe}
nokulunga	noku{lunga}
nokulungela	noku{lungela}
nokulungisa	noku{lungisa}
nokulungisela	noku{lungisela}
nokulungiselela	noku{lungiselela}
nokulungiselelwa	noku{lungiselelwa}
nokulungiswa	noku{lungiswa}
nokulusebenzisa	noku{lusebenzisa}
nokungabambisani	noku{ngabambisani}
nokungaba	noku{ngaba}
nokungabaza	noku{ngabaza}
nokungabikhona	noku{ngabikhona}
nokungabi	noku{ngabi}
nokungaboni	noku{ngaboni}
nokungafanele	noku{ngafanele}
nokungafundi	noku{ngafundi}
nokungafundwa	noku{ngafundwa}
nokungahambisi	noku{ngahambisi}
nokungahle	noku{ngahle}
nokungaholela	noku{ngaholela}
nokungakhethi	noku{ngakhethi}
nokungakwazi	noku{ngakwazi}
nokungamelwa	noku{ngamelwa}
nokungangeni	noku{ngangeni}
nokungaphakathi	noku{ngaphakathi}
nokungaphatheki	noku{ngaphatheki}
nokungaphathwa	noku{ngaphathwa}
nokungapheleli	noku{ngapheleli}
nokungaphezulu	noku{ngaphezulu}
nokungaphumeleli	noku{ngaphumeleli}
nokungaqondile	noku{ngaqondile}
nokungasebenzi	noku{ngasebenzi}
nokungasebenzisi	noku{ngasebenzisi}
nokungase	noku{ngase}
nokungasetshenziswa	noku{ngasetshenziswa}
nokungathathi	noku{ngathathi}
nokungathembani	noku{ngathembani}
nokungathuthuki	noku{ngathuthuki}
nokungathuthukiswa	noku{ngathuthukiswa}
nokungazi	noku{ngazi}
nokungaziphathi	noku{ngaziphathi}
nokungcola	noku{ngcola}
nokungekho	noku{ngekho}
nokungenani	noku{ngenani}
nokungena	noku{ngena}
nokungenelela	noku{ngenelela}
nokungenwa	noku{ngenwa}
nokungenza	noku{ngenza}
nokungenzeka	noku{ngenzeka}
nokungenzi	noku{ngenzi}
nokungenziwa	noku{ngenziwa}
nokungesikho	noku{ngesikho}
nokungokokuqala	noku{ngokokuqala}
nokunguye	noku{nguye}
nokunika	noku{nika}
nokunikela	noku{nikela}
nokunikezela	noku{nikezela}
nokunikwa	noku{nikwa}
nokunyanga	noku{nyanga}
nokunye	noku{nye}
nokuphakathi	noku{phakathi}
nokuphakela	noku{phakela}
nokuphambana	noku{phamb}ana
nokuphana	noku{ph}ana
nokupha	noku{pha}
nokuphatha	noku{phatha}
nokuphatheka	noku{phatheka}
nokuphathelene	noku{phathelene}
nokuphathwa	noku{phathwa}
nokuphawula	noku{phawula}
nokupheka	noku{pheka}
nokuphela	noku{phela}
nokuphelela	noku{phelela}
nokuphelele	noku{phelele}
nokuphelelwa	noku{phelelwa}
nokupheliswa	noku{pheliswa}
nokuphendula	noku{phendula}
nokuphendulela	noku{phendulela}
nokuphepha	noku{phepha}
nokuphetha	noku{phetha}
nokuphikisana	noku{phikis}ana
nokuphikisa	noku{phikisa}
nokuphila	noku{phila}
nokuphilisana	noku{philis}ana
nokuphinda	noku{phinda}
nokuphindaphinda	noku{phindaphinda}
nokuphindela	noku{phindela}
nokuphinde	noku{phinde}
nokuphola	noku{phola}
nokuphula	noku{phula}
nokuphuma	noku{phuma}
nokuphumela	noku{phumela}
nokuphumelela	noku{phumelela}
nokuphumelelisa	noku{phumelelisa}
nokuphumula	noku{phumula}
nokuphuza	noku{phuza}
nokuqala	noku{qala}
nokuqalwa	noku{qalwa}
nokuqapha	noku{qapha}
nokuqaphela	noku{qaphela}
nokuqeda	noku{qeda}
nokuqedela	noku{qedela}
nokuqedwa	noku{qedwa}
nokuqeqesha	noku{qeqesha}
nokuqeqeshekile	noku{qeqeshekile}
nokuqeqeshela	noku{qeqeshela}
nokuqeqeshelwa	noku{qeqeshelwa}
nokuqeqeshwa	noku{qeqeshwa}
nokuqhamuka	noku{qhamuka}
nokuqhuba	noku{qhuba}
nokuqhubeka	noku{qhubeka}
nokuqhubekayo	noku{qhubekayo}
nokuqhubekela	noku{qhubekela}
nokuqhubekiswa	noku{qhubekiswa}
nokuqhubezela	noku{qhubezela}
nokuqhudelana	noku{qhudel}ana
nokuqikelela	noku{qikelela}
nokuqinisa	noku{qinisa}
nokuqiniseka	noku{qiniseka}
nokuqiniswa	noku{qiniswa}
nokuqoka	noku{qoka}
nokuqonda	noku{qonda}
nokuqondene	noku{qondene}
nokuqondisa	noku{qondisa}
nokuqondisisa	noku{qondisisa}
nokuqondiswa	noku{qondiswa}
nokuqondiswe	noku{qondiswe}
nokuqondwa	noku{qondwa}
nokuqoqa	noku{qoqa}
nokuqukethwe	noku{qukethwe}
nokusalela	noku{salela}
nokusebenza	noku{sebenza}
nokusebenzela	noku{sebenzela}
nokusebenzisana	noku{sebenzis}ana
nokusebenzisa	noku{sebenzisa}
nokusebenziswa	noku{sebenziswa}
nokusekela	noku{sekela}
nokusemqoka	noku{semqoka}
nokusentshenziswa	noku{sentshenziswa}
nokusenza	noku{senza}
nokusetshenziswana	noku{setshenzisw}ana
nokusetshenziswa	noku{setshenziswa}
nokusetshenzwa	noku{setshenzwa}
nokusezingeni	noku{sezingeni}
nokusha	noku{sha}
nokushaya	noku{shaya}
nokushayela	noku{shayela}
nokushaywa	noku{shaywa}
nokushesha	noku{shesha}
nokushintshana	noku{shintsh}ana
nokushintsha	noku{shintsha}
nokushintshwa	noku{shintshwa}
nokushiwo	noku{shiwo}
nokushona	noku{shona}
nokusho	noku{sho}
nokusingathwa	noku{singathwa}
nokusizakala	noku{sizakala}
nokusiza	noku{siza}
nokusizwa	noku{sizwa}
nokusobala	noku{sobala}
nokusuka	noku{suka}
nokuswela	noku{swela}
nokusweleka	noku{sweleka}
nokuthanda	noku{thanda}
nokuthatha	noku{thatha}
nokuthatheka	noku{thatheka}
nokuthathelwa	noku{thathelwa}
nokuthathwa	noku{thathwa}
nokuthela	noku{thela}
nokuthelela	noku{thelela}
nokuthelwa	noku{thelwa}
nokuthemba	noku{themba}
nokuthembeka	noku{thembeka}
nokuthengiswa	noku{thengiswa}
nokuthe	noku{the}
nokuthetha	noku{thetha}
nokuthile	noku{thile}
nokuthimisela	noku{thimisela}
nokuthi	noku{thi}
nokuthintana	noku{thint}ana
nokuthize	noku{thize}
nokuthokoza	noku{thokoza}
nokutholakala	noku{tholakala}
nokutholakele	noku{tholakele}
nokuthola	noku{thola}
nokutholiswa	noku{tholiswa}
nokutholwa	noku{tholwa}
nokuthula	noku{thula}
nokuthumba	noku{thumba}
nokuthumela	noku{thumela}
nokuthungatha	noku{thungatha}
nokuthutha	noku{thutha}
nokuthuthela	noku{thuthela}
nokuthutheleka	noku{thutheleka}
nokuthuthuka	noku{thuthuka}
nokuthuthukisa	noku{thuthukisa}
nokuthuthukiswa	noku{thuthukiswa}
nokuthuthwa	noku{thuthwa}
nokuthwala	noku{thwala}
nokutshela	noku{tshela}
nokuvaleka	noku{valeka}
nokuvalela	noku{valela}
nokuvalelwa	noku{valelwa}
nokuvalwa	noku{valwa}
nokuvela	noku{vela}
nokuveza	noku{veza}
nokuvezwa	noku{vezwa}
nokuvuka	noku{vuka}
nokuvulwa	noku{vulwa}
nokuvuma	noku{vuma}
nokuvumelana	noku{vumel}ana
nokuvumela	noku{vumela}
nokuvumeleka	noku{vumeleka}
nokuxhumana	noku{xhum}ana
nokuxhumanisa	noku{xhumanisa}
nokuxoxa	noku{xoxa}
nokuxoxwa	noku{xoxwa}
nokuya	noku{ya}
nokuyenza	noku{yenza}
nokuyibona	noku{yibona}
nokuyikhona	noku{yikhona}
nokuyikho	noku{yikho}
nokuyilungelo	noku{yilungelo}
nokuyindlela	noku{yindlela}
nokuyingxenye	noku{yingxenye}
nokuyiphatha	noku{yiphatha}
nokuyisebenzisa	noku{yisebenzisa}
nokuyisekela	noku{yisekela}
nokuyisisekelo	noku{yisisekelo}
nokuyithola	noku{yithola}
nokuyosebenza	noku{yosebenza}
nokuzibhekela	noku{zibhekela}
nokuzikhandla	noku{zikhandla}
nokuziphatha	noku{ziphatha}
nokuziphendula	noku{ziphendula}
nokuzisebenzisa	noku{zisebenzisa}
nokuzithathela	noku{zithathela}
nokuzithuthukisa	noku{zithuthukisa}
nokuzivikela	noku{zivikela}
nokuzokwenza	noku{zokwenza}
nokuzokwenzeka	noku{zokwenzeka}
nokuzokwenziwa	noku{zokwenziwa}
nokuzwa	noku{zwa}
nokwabantu	nokw{abantu}
nokwabanye	nokw{abanye}
nokwahluleka	nokw{ahluleka}
nokwakha	nokw{akha}
nokwakhiwa	nokw{akhiwa}
nokwakwenzeka	nokw{akwenzeka}
nokwakwenziwa	nokw{akwenziwa}
nokwamanje	nokw{amanje}
nokwamazwe	nokw{amazwe}
nokwangaphandle	nokw{angaphandle}
nokwathi	nokw{athi}
nokwazi	nokw{azi}
nokwazisana	nokw{azis}ana
nokwaziswa	nokw{aziswa}
nokwaziwa	nokw{aziwa}
nokwedlula	nokw{edlula}
nokwehluka	nokw{ehluka}
nokwehluleka	nokw{ehluleka}
nokweluleka	nokw{eluleka}
nokwendlaleka	nokw{endlaleka}
nokwenza	nokw{enza}
nokwenzeka	nokw{enzeka}
nokwenzekayo	nokw{enzekayo}
nokwenzeke	nokw{enzeke}
nokwenzelana	nokw{enzel}ana
nokwenzela	nokw{enzela}
nokwenzelela	nokw{enzelela}
nokwenze	nokw{enze}
nokwenziwa	nokw{enziwa}
nokwenziwayo	nokw{enziwayo}
nokwenziwe	nokw{enziwe}
nokwesikhashana	nokw{esikhash}ana
nokwesiko	nokw{esiko}
nokwethemba	nokw{ethemba}
nokwethembeka	nokw{ethembeka}
nokwethula	nokw{ethula}
nokwezengqondo	nokw{ezengqondo}
nolaka	no{laka}
nolimi	noli{mi}
nolusebenza	nolu{sebenza}
nolwangaphandle	nolw{angaphandle}
nolwazi	nolw{azi}
nolwaziwa	nolw{aziwa}
nomakunjalo	noma{kunjalo}
nomama	noma{ma}
nomangokwenza	noma{ngokwenza}
noma	nom{a}
nomasipala	noma{sipala}
nomfana	nom{f}ana
nomfazi	nom{fazi}
nomfowethu	nom{fowethu}
nomfula	nom{fula}
nomfundi	nom{fundi}
nomfundisi	nom{fundisi}
nomgwamanda	nom{gwamanda}
nomhlaba	nom{hlaba}
nomhlabathi	nom{hlabathi}
nomhlahlandlela	nom{hlahlandlela}
nomhlangana	nom{hlang}ana
nomhlanga	nom{hlanga}
nomhlangano	nom{hlangano}
nomhloli	nom{hloli}
nomkakhe	nom{kakhe}
nomkhathi	nom{khathi}
nomkhombandlela	nom{khombandlela}
nomkhulu	nom{khulu}
nomncane	nom{nc}ane
nomntwana	nom{ntw}ana
nomnumzane	nom{numz}ane
nomnyango	nom{nyango}
nomoya	nom{oya}
nomphakathi	nom{phakathi}
nomphathi	nom{phathi}
nomphefumulo	nom{phefumulo}
nomphumela	nom{phumela}
nomsebenze	nom{sebenze}
nomsebenzi	nom{sebenzi}
nomsebenzisi	nom{sebenzisi}
nomthelela	nom{thelela}
nomthelelela	nom{thelelela}
nomthelelo	nom{thelelo}
nomthethonkambiso	nom{thethonkambiso}
nomthetho	nom{thetho}
nomthethosisekelo	nom{thethosisekelo}
nomthethwa	nom{thethwa}
nomuntu	nomu{ntu}
nomunye	nomu{nye}
nomuzi	nomu{zi}
nonina	non{ina}
nonke	non{ke}
nonyoko	non{yoko}
noqeqesho	no{qeqesho}
nosebenza	nos{ebenza}
nosebenzisa	nos{ebenzisa}
nosizi	nosi{zi}
nosizo	nosi{zo}
nothando	no{thando}
nothathwa	no{thathwa}
nothisha	no{thisha}
nothola	no{thola}
notshwala	no{tshwala}
noyihlo	no{yihlo}
noyise	no{yise}
nozimanga	nozim{anga}
nozondi	noz{ondi}
nqo	n{qo}
nsizwa	nsi{zwa}
nsuku	n{suku}
ntambama	n{tambama}
ntombazana	n{tombaz}ana
ntombazane	n{tombaz}ane
ntombi	n{tombi}
ntoni	n{toni}
nxa	n{xa}
nxashana	n{xash}ana
nxazonke	n{xazonk}e
nya	ny{a}
nyaka	nyak{a}
nyaku	nyak{u}
nye	nye
nyembezi	nyem{bezi}
nyoni	nyon{i}
nzashana	n{zash}ana
nzima	nzi{ma}
obaba	oba{ba}
obala	oba{la}
obalulekile	obalu{lek}ile
obandayo	oba{nda}yo
obona	ob{ona}
obonga	ob{onga}
obuhambisana	obu{hambis}ana
obuhlelekile	obu{hlelek}ile
obungasetshenziswa	obungas{etshenziswa}
obuntu	obun{tu}
obuqotho	obu{qotho}
obusebenza	obu{sebenza}
obusebenzayo	obu{sebenza}yo
obusetshenziselwa	obu{setshenziselwa}
obuthile	obu{th}ile
obutholakala	obu{tholakala}
obuyotholakala	obuyo{tholakala}
ocansini	o{cansini}
odlule	o{dlule}
odongeni	o{dongeni}
ofake	o{fake}
ofana	o{f}ana
ofanelekayo	o{fanelek}ayo
ofanelekile	o{fanelekile}
ofanele	o{fanele}
ofuna	o{fun}a
ofunda	o{fund}a
ofundelwe	o{fundelwe}
ofundile	o{fundile}
ofundisa	o{fundis}a
ofundisiwe	o{fundisiwe}
ogama	o{gam}a
ohamba	o{hamb}a
ohambeni	o{hambeni}
ohambisana	o{hambis}ana
ohambisanayo	o{hambisan}ayo
ohambisa	o{hambis}a
ohlala	o{hlal}a
ohlale	o{hlale}
ohlangane	o{hlang}ane
ohlanzekile	o{hlanzekile}
ohlelekile	o{hlelekile}
ohlelweni	o{hlelweni}
ohlukanisa	o{hlukanis}a
ohlulekayo	o{hlulek}ayo
ohlulekile	o{hlulekile}
ohluphekile	o{hluphekile}
ohluphile	o{hluphile}
okade	oka{d}e
oke	ok{e}
okhambeni	ok{hamb}eni
okhanda	ok{handa}
okhululekile	ok{hululek}ile
okhuluma	ok{huluma}
okhulumela	ok{hulumela}
okhuluphele	ok{huluphel}e
okokufunda	ok{okufunda}
okokugcina	ok{okugcina}
okokuqala	ok{okuqala}
okomsebenzi	ok{omsebenzi}
okubala	okuba{la}
okubalekayo	okuba{leka}yo
okubalulekile	okuba{lulek}ile
okubamba	okuba{mba}
okubambisana	oku{bambis}ana
okubanga	okuba{nga}
okubangekile	okuba{ngek}ile
okubangela	okuba{ngela}
okuba	oku{ba}
okubeka	oku{beka}
okubekhona	oku{bekhona}
okubhala	oku{bhala}
okubhalela	oku{bhalela}
okubhalile	oku{bhal}ile
okubhalisa	oku{bhalisa}
okubhaliwe	oku{bhaliw}e
okubhalwa	oku{bhalwa}
okubhalwe	oku{bhalw}e
okubhekana	oku{bhek}ana
okubheka	oku{bheka}
okubhekayo	oku{bheka}yo
okubhekela	oku{bhekela}
okubhekele	oku{bhekel}e
okubhekene	oku{bheken}e
okubheke	oku{bhek}e
okubi	oku{bi}
okubonakala	okubo{nakala}
okubonakalayo	okubo{nakala}yo
okubona	okubo{na}
okubongekayo	okubo{ngeka}yo
okubuhlungu	oku{buhlungu}
okucabanga	oku{cabanga}
okucabangayo	oku{cabanga}yo
okuchazwa	oku{chazwa}
okuchazwe	oku{chazw}e
okuchitha	oku{chitha}
okuchithekile	oku{chithek}ile
okudala	oku{dala}
okudingakalayo	oku{dingakala}yo
okudinga	oku{dinga}
okudingayo	oku{dinga}yo
okudingeka	oku{dingeka}
okudingekayo	oku{dingeka}yo
okudingeke	oku{dingek}e
okudingekile	oku{dingek}ile
okudlala	oku{dlala}
okudlalelwa	oku{dlalelwa}
okudlula	oku{dlula}
okufakela	oku{fakela}
okufana	oku{f}ana
okufanayo	oku{fana}yo
okufanelekile	oku{fanelek}ile
okufanele	oku{fanel}e
okufika	oku{fika}
okufike	oku{fik}e
okufinyelela	oku{finyelela}
okufinyelelwe	oku{finyelelw}e
okufuna	oku{funa}
okufunayo	oku{funa}yo
okufunda	oku{funda}
okufundela	oku{fundela}
okufundele	oku{fundel}e
okufundile	oku{fund}ile
okufundisa	oku{fundisa}
okufundiswa	oku{fundiswa}
okufundiswayo	oku{fundiswa}yo
okufundwa	oku{fundwa}
okufundwayo	oku{fundwa}yo
okufuneka	oku{funeka}
okufunekayo	oku{funeka}yo
okugcina	oku{gcina}
okugcinekayo	oku{gcineka}yo
okugcizelela	oku{gcizelela}
okugcwele	oku{gcwel}e
okuhamba	oku{hamba}
okuhambisana	oku{hambis}ana
okuhambisanayo	oku{hambisana}yo
okuhambisa	oku{hambisa}
okuhambisayo	oku{hambisa}yo
okuhlala	oku{hlala}
okuhlaleka	oku{hlaleka}
okuhlale	oku{hlal}e
okuhlalwa	oku{hlalwa}
okuhlanganisa	oku{hlanganisa}
okuhlanganisayo	oku{hlanganisa}yo
okuhlanganiswa	oku{hlanganiswa}
okuhlangene	oku{hlangen}e
okuhlela	oku{hlela}
okuhlelekile	oku{hlelek}ile
okuhlelela	oku{hlelela}
okuhlelelwe	oku{hlelelw}e
okuhlelwa	oku{hlelwa}
okuhlelwayo	oku{hlelwa}yo
okuhlelwe	oku{hlelw}e
okuhle	oku{hl}e
okuhlola	oku{hlola}
okuhlolwa	oku{hlolwa}
okuhlolwayo	oku{hlolwa}yo
okuhlosiwe	oku{hlosiw}e
okuhlukene	oku{hluken}e
okujwayelekile	oku{jwayelek}ile
okukhanda	oku{khanda}
okukhethekile	oku{khethek}ile
okukholakala	oku{kholakala}
okukhomba	oku{khomba}
okukhombisa	oku{khombisa}
okukhombisayo	oku{khombisa}yo
okukhona	oku{khona}
okukhula	oku{khula}
okukhululwa	oku{khululwa}
okukhuluma	oku{khuluma}
okukhulumile	oku{khulum}ile
okukhulunywa	oku{khulunywa}
okukhulunywe	oku{khulunyw}e
okukhulu	oku{khulu}
okukhumbula	oku{khumbula}
okukuqala	okuku{qala}
okukwenza	oku{kwenza}
okulandelayo	oku{landela}yo
okulindelekile	okuli{ndelek}ile
okulumayo	okulu{ma}yo
okulungiswa	okulu{ngiswa}
okunabasebenzi	okunaba{sebenzi}
okunezindawo	okunezin{dawo}
okungabakhona	okungaba{khona}
okungabala	okungaba{la}
okungabanga	okungaba{nga}
okungabangela	okungaba{ngela}
okungabantu	okungaba{ntu}
okungaba	okunga{ba}
okungadala	okunga{dala}
okungadingeka	okunga{dingeka}
