a	A:
kredietkant	k r @ d i t k a n t
krediet	k r @ d i t
kredietverkope	k r @ d i t f @ r k u@ p @
kredietverlening	k r @ d i t f @ r l i@ n @ N
kredietwaardigheid	k r @ d i t v A: r d @ x h\ @i t
kredietwet	k r @ d i t v E t
krediteer	k r E d i t i@ r
krediteurekontrole	k r E d i t 2: r @ k O n t r u@ l @
krediteure	k r E d i t 2: r @
krediteur	k r E d i t 2: r
kreef	k r i@ f
kreun	k r 2: n
krewe	k r i@ v @
krieke	k r i k @
krieketbase	k r i k @ t b A: s @
krieketkaptein	k r i k @ t k a p t @i n
krieketklub	k r i k @ t k l 9 b
krieket	k r i k @ t
krieketraad	k r i k @ t r A: t
krieketseisoen	k r i k @ t s @i s u n
krieketspan	k r i k @ t s p a n
krieketspanne	k r i k @ t s p a n @
krieketspeler	k r i k @ t s p i@ l @ r
krieketspelers	k r i k @ t s p i@ l @ r s
kriekettoets	k r i k @ t u t s
krieketunie	k r i k @ t y n i
krieketveld	k r i k @ t f { l t
krieketwedstryde	k r i k @ t v E t s t r @i d @
krieketwedstryd	k r i k @ t v E t s t r @i t
kriek	k r i k
kriewel	k r i v @ l
kriewelrig	k r i v @ l r @ x
krimineel	k r @ m @ n i@ l
kriminele	k r @ m @ n i@ l @
kriminologie	k r @ m @ n u l u x i
kriminoloog	k r @ m @ n u l u@ x
krimp	k r @ m p
kringe	k r @ N @
kringetjie	k r @ N i k i
kring	k r @ N
kringloop	k r @ N l u@ p
krip	k r @ p
krisisintervensie	k r i s @ s @ n t @ r v E n s i
krisis	k r i s @ s
krisisse	k r i s @ s @
kris	k r @ s
kristal	k r @ s t a l
kriteria	k r @ t i@ r i a
kriterium	k r @ t i@ r i 9 m
kritici	k r i t i s i
kritieke	k r @ t i k @
kritiek	k r @ t i k
kritiese	k r i t i s @
krities	k r i t i s
kritikus	k r i t i k 9 s
kritiseer	k r i t i s i@ r
kroate	k r u A: t @
kroeg	k r u x
kroegtoonbank	k r u x t u@ n b a N k
krokodil	k r O k u d @ l
krokodille	k r O k u d @ l @
krom	k r O m
krommes	k r O m @ s
krone	k r u@ n @
kroniek	k r u n i k
kroniese	k r u@ n i s @
kroning	k r u@ n @ N
kronkelende	k r O N k @ l @ n d @
kronkelvere	k r O N k @ l f i@ r @
kroon	k r u@ n
kroonprins	k r u@ n p r @ n s
kroos	k r u@ s
krop	k r O p
krugerrande	k r y @ r a n d @
kruideniersware	k r 9y d @ n i r s v A: r @
kruie	k r 9y @
kruik	k r 9y k
kruin	k r 9y n
kruip	k r 9y p
kruisbestuiwing	k r 9y s b @ s t 9y v @ N
kruisboog	k r 9y s b u@ x
kruisdood	k r 9y s d u@ t
kruise	k r 9y s @
kruisie	k r 9y s i
kruisiging	k r 9y s @ x @ N
kruisig	k r 9y s @ x
kruising	k r 9y s @ N
kruisings	k r 9y s @ N s
kruis	k r 9y s
kruiskulturele	k r 9y s k 9 l t y r i@ l @
kruisondervraging	k r 9y s O n d @ r f r A: x @ N
kruispad	k r 9y s p a t
kruistogte	k r 9y s t O x t @
kruisvaarders	k r 9y s f A: r d @ r s
kruisvuur	k r 9y s f y r
kruitvat	k r 9y t f a t
kruiwa	k r 9y v A:
kru	k r y
krygers	k r @i x @ r s
krygsgevangenes	k r @i x s x @ f a N @ n @ s
krygsheer	k r @i x s h\ i@ r
krygshere	k r @i x s h\ i@ r @
krygswet	k r @i x s v E t
kry	k r @i
kryt	k r @i t
krytvloer	k r @i t f l u r
kubaanse	k y b A: n s @
kubieke	k y b i k @
kudde	k 9 d @
kuddes	k 9 d @ s
kug	k 9 x
kuier	k 9y @ r
kuierplek	k 9y @ r p l { k
kuierplekke	k 9y @ r p l { k @
kuiertjie	k 9y @ r k i
kuifie	k 9y f i
kuif	k 9y f
kuikens	k 9y k @ n s
kuil	k 9y l
kuipe	k 9y p @
kuitbesering	k 9y t b @ s i@ r @ N
kuite	k 9y t @
kuit	k 9y t
kuitspier	k 9y t s p i r
kulkunstenaar	k 9 l k 9 n s t @ n A: r
kullery	k 9 l @ r @i
kulmineer	k 9 l m @ n i@ r
kulture	k 9 l t y r @
kulturele	k 9 l t y r i@ l @
kultus	k 9 l t 9 s
kultuurerfenis	k 9 l t y r { r f @ n @ s
kultuurgeskiedenis	k 9 l t y r x @ s k i d @ n @ s
kultuurgroep	k 9 l t y r x r u p
kultuurhistoriese	k 9 l t y r h\ i s t u@ r i s @
kultuur	k 9 l t y r
kultuurkennis	k 9 l t y r k E n @ s
kultuurorganisasie	k 9 l t y r O r x a n i s A: s i
kultuurorganisasies	k 9 l t y r O r x a n i s A: s i s
kultuursake	k 9 l t y r s A: k @
kultuursentrum	k 9 l t y r s E n t r 9 m
kultuurstudies	k 9 l t y r s t y d i s
kultuurtaal	k 9 l t y r t A: l
kultuurvereniginge	k 9 l t y r f @ r i@ n @ x @ N @
kultuurvereniging	k 9 l t y r f @ r i@ n @ x @ N
kultuurverskeidenheid	k 9 l t y r f @ r s k @i d @ n h\ @i t
kumulatiewe	k y m y l a t i v @
kundige	k 9 n d @ x @
kundiges	k 9 n d @ x @ s
kundigheid	k 9 n d @ x h\ @i t
kunsbesef	k 9 n s b @ s E f
kunsfees	k 9 n s f i@ s
kunsgalery	k 9 n s x a l @ r @i
kunsgeskiedenis	k 9 n s x @ s k i d @ n @ s
kuns	k 9 n s
kunskafee	k 9 n s k a f i@
kunsliedere	k 9 n s l i d @ r @
kunsliefhebbers	k 9 n s l i f h\ E b @ r s
kunsmark	k 9 n s m a r k
kunsmatige	k 9 n s m A: t @ x @
kunsmatig	k 9 n s m A: t @ x
kunsmis	k 9 n s m @ s
kunsmuseum	k 9 n s m y s 2: m
kunsmusiek	k 9 n s m 9 s i k
kunssaal	k 9 n s A: l
kunssale	k 9 n s A: l @
kunsskool	k 9 n s k u@ l
kunstefees	k 9 n s t @ f i@ s
kunstegebou	k 9 n s t @ x @ b @u
kunste	k 9 n s t @
kunstekaap	k 9 n s t @ k A: p
kunstenaar	k 9 n s t @ n A: r
kunstenaars	k 9 n s t @ n A: r s
kunstenaarskap	k 9 n s t @ n A: r s k a p
kunstenares	k 9 n s t @ n a r E s
kunsteraad	k 9 n s t @ r A: t
kunstige	k 9 n s t @ x @
kunstig	k 9 n s t @ x
kunsuitstalling	k 9 n s 9y t s t a l @ N
kunsuitstallings	k 9 n s 9y t s t a l @ N s
kunsvereniging	k 9 n s f @ r i@ n @ x @ N
kunsversameling	k 9 n s f @ r s A: m @ l @ N
kunsvorme	k 9 n s f O r m @
kunsvorm	k 9 n s f O r @ m
kunswerke	k 9 n s v { r k @
kunswerk	k 9 n s v { r k
kuratore	k y r a t u@ r @
kurator	k y r A: t O r
kurators	k y r A: t O r s
kurpers	k 9 r p @ r s
kurrikulering	k 9 r i k y l i@ r @ N
kurrikulum	k y r i k y l 9 m
kursusdosent	k 9 r s 9 s d u s E n t
kursuseenheid	k 9 r s 9 s i@ n h\ @i t
kursusgangers	k 9 r s 9 s x a N @ r s
kursusinhoud	k 9 r s 9 s @ n h\ @u t
kursus	k 9 r s 9 s
kursusse	k 9 r s 9 s @
kursuswerk	k 9 r s 9 s v { r k
kurwe	k 9 r v @
kurwes	k 9 r v @ s
kusdorp	k 9 s d O r p
kusgebiede	k 9 s x @ b i d @
kusgebied	k 9 s x @ b i t
kus	k 9 s
kuslyne	k 9 s l @i n @
kussing	k 9 s @ N
kussings	k 9 s @ N s
kusstrook	k 9 s t r u@ k
kusvlak	k 9 s f l a k
kusvlakte	k 9 s f l a k t @
kuswag	k 9 s v a x
kwaadaardige	k w A: t A: r d @ x @
kwaad	k w A: t
kwaadwillig	k w A: t v @ l @ x
kwaai	k w A: i
kwaaiste	k w A: i s t @
kwade	k w A: d @
kwadrant	k w a d r a n t
kwadrate	k w a d r A: t @
kwadrupleeg	k w a d r u p l i@ x
kwaggas	k w a x a s
kwale	k w A: l @
kwalifikasie	k w a l @ f i k A: s i
kwalifikasieraamwerk	k w a l @ f i k A: s i r A: m v { r k
kwalifikasies	k w a l @ f i k A: s i s
kwalifiseer	k w a l i f i s i@ r
kwalifiserende	k w a l i f i s i@ r @ n d @
kwalik	k w A: l @ k
kwalitatief	k w a l i t a t i f
kwaliteite	k w a l i t @i t @
kwaliteit	k w a l i t @i t
kwansuis	k w a n s 9y s
kwantifisering	k w a n t i f i s i@ r @ N
kwantummeganika	k w a n t 9 m @ x A: n i k a
kwarantyn	k w a r a n t @i n
kwartaalblad	k w a r t A: l b l a t
kwartaal	k w a r t A: l
kwartaallikse	k w a r t A: l @ k s @
kwartaalliks	k w a r t A: l @ k s
kwartaalverslae	k w a r t A: l f @ r s l A: @
kwartaalverslag	k w a r t A: l f @ r s l a x
kwartale	k w a r t A: l @
kwarteindronde	k w a r t @i n t r O n t @
kwarteindstryd	k w a r t @i n t s t r @i t
kwartet	k w a r t E t
kwartgebied	k w a r t x @ b i t
kwartier	k w a r t i r
kwart	k w a r t
kwartmiljoen	k w a r t m @ l j u n
kwasi	k w A: z i
kwaste	k w a s t @
kweek	k w i@ k
kweekskool	k w i@ k s k u@ l
kwekerye	k w i@ k @ r @i @
kwekery	k w i@ k @ r @i
kwel	k w { l
kwelvrae	k w { l f r A: @
kwesbaarheid	k w E s b A: r h\ @i t
kwesbaar	k w E s b A: r
kwessie	k w E s i
kwessies	k w E s i s
kwetsbaar	k w E t s b A: r
kwetsende	k w E t s @ n d @
kwik	k w @ k
kwinkslae	k w @ N k s l A: @
kwistig	k w @ s t @ x
kwitansie	k w @ t a n s i
kwitansies	k w @ t a n s i s
kwota	k w u@ t a
kwotasies	k w u t A: s i s
kwotas	k w u@ t a s
kwotastelsel	k w u@ t a s t { l s @ l
kwyl	k w @i l
kwynende	k w @i n @ n d @
kwyn	k w @i n
kwytgeraak	k w @i t x @ r A: k
kwytgeskeld	k w @i t x @ s k { l t
kwyt	k w @i t
kwytskelding	k w @i t s k { l d @ N
kyker	k @i k @ r
kykers	k @i k @ r s
kykie	k @i k i
kyk	k @i k
kykstof	k @i k s t O f
laag	l A: x
laagste	l A: x s t @
laagte	l A: x t @
laagtepunte	l A: x t @ p 9 n t @
laagtepunt	l A: x t @ p 9 n t
laagvat	l A: x f a t
laagwater	l A: x v A: t @ r
laaibak	l A: i b a k
laaie	l A: i @
laai	l A: i
laan	l A: n
laasgenoemde	l A: s x @ n u m d @
laasgenoemdes	l A: s x @ n u m d @ s
laasjaar	l A: s j A: r
laas	l A: s
laasnag	l A: s n a x
laaste	l A: s t @
laastens	l A: s t @ n s
laataand	l A: t A: n t
laat	l A: t
laatmiddag	l A: t m @ d a x
laatslapers	l A: t s l A: p @ r s
laboratorium	l a b r a t u@ r i 9 m
laboratoriums	l a b r a t u@ r i 9 m s
lading	l A: d @ N
laekoste	l A: k O s t @
lae	l A: @
laerhuis	l A: @ r h\ 9y s
laer	l A: @ r
laerskole	l A: @ r s k u@ l @
laerskoolkinders	l A: r s k u@ l k @ n d @ r s
laerskool	l A: @ r s k u@ l
laers	l A: @ r s
laeveld	l A: f { l t
lafaard	l a f A: r t
lafenis	l A: f @ n @ s
lafhartige	l a f h\ a r t @ x @
laf	l a f
laggende	l a x @ n d @
laggie	l a x i
lagie	l A: x i
lag	l a x
lagspiere	l a x s p i r @
laken	l A: k @ n
lak	l a k
laksheid	l a k s h\ @i t
laksman	l a k s m a n
laktaat	l a k t A: t
la	l A:
laminêre	l a m i n { r @
lam	l a m
lammers	l a m @ r s
lampak	l a m p a k
lampe	l a m p @
lamp	l a m p
lamplig	l a m p l @ x
lamppaal	l a m p A: l
lamppale	l a m p A: l @
landbank	l a n t b a N k
landboubeleid	l a n t b @u b @ l @i t
landbouers	l a n t b @u @ r s
landbougrond	l a n t b @u x r O n t
landboukollege	l a n t b @u k O l i d Z
landbou	l a n t b @u
landbounavorsingsraad	l a n t b @u n A: f O r s @ N s r A: t
landbouproduksie	l a n t b @u p r u d 9 k s i
landbouprodukte	l a n t b @u p r u d 9 k t @
landbousektor	l a n t b @u s E k t O r
landboutoestande	l a n t b @u t u s t a n d @
landdrosdistrik	l a n d r O s d @ s t r @ k
landdrosdistrikte	l a n d r O s d @ s t r @ k t @
landdroshof	l a n d r O s h\ O f
landdroskantoor	l a n d r O s k a n t u@ r
landdros	l a n d r O s
landdroste	l a n d r O s t @
lande	l a n d @
landelike	l a n d @ l @ k @
landerye	l a n d @ r @i @
landgenoot	l a n t x @ n u@ t
landgenote	l a n t x @ n u@ t @
landgoedere	l a n t x u d @ r @
landgoed	l a n t x u t
landing	l a n d @ N
landjie	l a i N k i
land	l a n t
landloop	l a n t l u@ p
landmyne	l a n t m @i n @
landmyn	l a n t m @i n
landnaam	l a n t n A: m
landsbelang	l a n t s b @ l a N
landsburger	l a n t s b 9 r g @ r
landsburgers	l a n t s b 9 r g @ r s
landsgrense	l a n t s x r E n s @
landskap	l a n t s k a p
landskappe	l a n t s k a p @
landsman	l a n t s m a n
landstale	l a n t s t A: l @
landstreek	l a n t s t r i@ k
landsvlag	l a n t s f l a x
landswette	l a n t s v E t @
landuit	l a n t 9y t
landvorme	l a n t f O r m @
landwyd	l a n t v @i t
landwye	l a n t v @i @
lane	l A: n @
langafstande	l a N a f s t a n d @
langafstand	l a N a f s t a n t
langasems	l a N A: s @ m s
langbeen	l a N b i@ n
langbroek	l a N b r u k
langdurige	l a N d y r @ x @
lange	l a N @
langer	l a N @ r
langes	l a N @ s
lang	l a N
langsaam	l a N s A: m
langsaan	l a N s A: n
langsamerhand	l a N s A: m @ r h\ a n t
langs	l a N s
langspeler	l a N s p i@ l @ r
langspelers	l a N s p i@ l @ r s
langste	l a N s t @
langtermyndoelwitte	l a N t { r m @i n d u l v @ t @
langtermyngeheue	l a N t { r m @i n x @ h\ 2: @
langtermyn	l a N t { r m @i n
langverwagte	l a N f @ r v a x t @
laning	l A: n @ N
lankaanse	l a N k A: n s @
lankal	l a N k a l
lanklaas	l a N k l A: s
lank	l a N k
lanseer	l a n s i@ r
lansering	l a n s i@ r @ N
lansie	l a n s i
lantern	l a n t { r n
lapa	l A: p a
lap	l a p
lappe	l a p @
lappie	l a p i
lappies	l a p i s
lasarus	l A: s a r 9 s
lasbrief	l a s b r i f
lasbriewe	l a s b r i v @
laser	l A: s @ r
laserplaat	l A: s @ r p l A: t
laserplate	l A: s @ r p l A: t @
laserskyf	l A: s @ r s k @i f
laserskywe	l A: s @ r s k @i v @
lasers	l A: s @ r s
las	l a s
laste	l a s t @
lastereis	l a s t @ r @i s
laster	l a s t @ r
lasterlike	l a s t @ r l @ k @
lasterlik	l a s t @ r l @ k
lastersaak	l a s t @ r s A: k
lastige	l a s t @ x @
lastig	l a s t @ x
late	l A: t @
latente	l a t E n t @
latere	l A: t @ r @
later	l A: t @ r
lat	l a t
latynse	l a t @i n s @
laude	l a u d @
laudium	l a u d i 9 m
laventel	l a f E n t @ l
lawaaierige	l a v A: i @ r @ x @
lawaai	l a v A: i
ledebydraes	l i@ d @ b @i d r A: @ s
ledegeld	l i@ d @ x { l t
lede	l i@ d @
ledemaat	l i@ d @ m A: t
ledemate	l i@ d @ m A: t @
ledetal	l i@ d @ t a l
leed	l i@ t
leef	l i@ f
leefstyl	l i@ f s t @i l
leefstylopvoeding	l i@ f s t @i l O p f u d @ N
leeftyd	l i@ f t @i t
leefwêreld	l i@ f v { r @ l t
leefwyse	l i@ f v @i s @
leegheid	l i@ x h\ @i t
leeg	l i@ x
leegte	l i@ x t @
leemte	l i@ m t @
leemtes	l i@ m t @ s
leen	l i@ n
leerafdelings	l i@ r a f d i@ l @ N s
leeraktiwiteit	l i@ r a k t i v i t @i t
leerbekleedsel	l i@ r b @ k l i@ t s @ l
leerbenadering	l i@ r b @ n A: d @ r @ N
leerdeel	l i@ r d i@ l
leerdergesentreerde	l i@ r d @ r x @ s E n t r i@ r d @
leerder	l i@ r d @ r
leerderondersteuning	l i@ r d @ r O n d @ r s t 2: n @ N
leerders	l i@ r d @ r s
leerderwerkprogram	l i@ r d @ r v { r k p r u x r a m
leerdoelwitte	l i@ r d u l v @ t @
leereenheidinhoud	l i@ r i@ n h\ @i t @ n h\ @u t
leereenheid	l i@ r i@ n h\ @i t
leereenheidplan	l i@ r i@ n h\ @i t p l a n
leereenheidstruktuur	l i@ r i@ n h\ @i t s t r 9 k t y r
leerervarings	l i@ r { r f A: r @ N s
leerfase	l i@ r f A: s @
leergedeelte	l i@ r x @ d i@ l t @
leergeleenthede	l i@ r x @ l i@ n t h\ i@ d @
leergeleentheid	l i@ r x @ l i@ n t h\ @i t
leerhandeling	l i@ r h\ a n d @ l @ N
leerkrag	l i@ r k r a x
leerkragte	l i@ r k r a x t @
leerlinge	l i@ r l @ N @
leerling	l i@ r l @ N
leerlingraad	l i@ r l @ N r A: t
leer	l i@ r
lêer	l { @ r
leermeester	l i@ r m i@ s t @ r
leermeesters	l i@ r m i@ s t @ r s
leeromgewing	l i@ r O m x i@ v @ N
leerplan	l i@ r p l a n
leerplanne	l i@ r p l a n @
leerprobleme	l i@ r p r u b l i@ m @
leerproses	l i@ r p r u s E s
leersaam	l i@ r s A: m
leersame	l i@ r s A: m @
leersitplekke	l i@ r s @ t p l { k @
leerstellige	l i@ r s t { l @ x @
leerstellinge	l i@ r s t { l @ N @
leerstelling	l i@ r s t { l @ N
leerstellings	l i@ r s t { l @ N s
leerstoel	l i@ r s t u l
leerstrategieë	l i@ r s t r a t @ x i @
leerstuk	l i@ r s t 9 k
leerstyle	l i@ r s t @i l @
leerstyl	l i@ r s t @i l
leertaak	l i@ r t A: k
leertake	l i@ r t A: k @
leerteorieë	l i@ r t i u r i @
leeruitkomstes	l i@ r 9y t k O m s t @ s
leesaktiwiteit	l i@ s a k t i v i t @i t
leesbaar	l i@ s b A: r
leesbare	l i@ s b A: r @
leesgids	l i@ s x @ t s
lees	l i@ s
leesproses	l i@ s p r u s E s
leesspoed	l i@ s p u t
leesstof	l i@ s t O f
leesstrategieë	l i@ s t r a t @ x i @
leesstukkie	l i@ s t 9 k i
leesstuk	l i@ s t 9 k
leestegnieke	l i@ s t { x n i k @
leestekengebruik	l i@ s t i@ k @ n x @ b r 9y k
leesvaardighede	l i@ s f A: r d @ x h\ i@ d @
leesvaardigheid	l i@ s f A: r d @ x h\ @i t
leeu	l i u
leeus	l i u s
leeuwyfie	l i u v @i f i
legato	l E g A: t u
legendariese	l E x @ n d A: r i s @
legende	l @ x E n d @
legendes	l @ x E n d @ s
leggers	l { x @ r s
legio	l i@ x i u
legitieme	l E x @ t i m @
legitimiteit	l E x @ t i m i t @i t
legkaart	l { x k A: r t
leidende	l @i d @ n d @
leiding	l @i d @ N
leidraad	l @i d r A: t
leidrade	l @i d r A: d @
leier	l @i @ r
leiersberaad	l @i @ r s b @ r A: t
leierseienskappe	l @i @ r s @i @ n s k a p @
leiersfigure	l @i @ r s f @ x y r @
leierskap	l @i @ r s k a p
leierskapstryd	l @i @ r s k a p s t r @i t
leierskapstyle	l @i @ r s k a p s t @i l @
leierskapstyl	l @i @ r s k a p s t @i l
leierskorps	l @i @ r s k O r p s
leiers	l @i @ r s
leiersposisie	l @i @ r s p u z i s i
leiersrol	l @i @ r s r O l
leierstryd	l @i @ r s t r @i t
leiersverkiesing	l @i @ r s f @ r k i s @ N
lei	l @i
leisels	l @i s @ l s
leke	l i@ k @
lekkasies	l { k A: s i s
lekkende	l { k @ n d @
lekkerder	l { k @ r d @ r
lekkergoed	l { k @ r x u t
lekker	l { k @ r
lekkernye	l { k @ r n @i j @
lekkerny	l { k @ r n @i
lekkers	l { k @ r s
lekkerste	l { k @ r s t @
lekkerte	l { k @ r t @
lek	l { k
leksikale	l E k s i k A: l @
lektore	l E k t u@ r @
lektor	l E k t O r
lê	l E
lelike	l i@ l @ k @
lelik	l i@ l @ k
lem	l E m
lemmetjiesdraad	l E m i k i s d r A: t
lemoene	l @ m u n @
lemoenskil	l @ m u n s k @ l
leners	l i@ n @ r s
lengte	l E N t @
lengtelyne	l E N t @ l @i n @
lengtes	l E N t @ s
lenige	l i@ n @ x @
lening	l i@ n @ N
lenings	l i@ n @ N s
lense	l E n s @
lens	l E n s
lente	l E n t @
lepels	l i@ p @ l s
leraar	l i@ r A: r
leraars	l i@ r A: r s
leringe	l i@ r @ N @
lering	l i@ r @ N
leseenheid	l E s i@ n h\ @i t
leser	l i@ s @ r
leserskring	l i@ s @ r s k r @ N
lesers	l i@ s @ r s
lesing	l i@ s @ N
lesingperiodes	l i@ s @ N p i r i u@ d @
lesings	l i@ s @ N s
les	l E s
lesplan	l E s p l a n
lesse	l E s @
lessenaar	l E s @ n A: r
lessenaars	l E s @ n A: r s
let	l E t
letsels	l E t s @ l s
lettergrootte	l E t @ r x r u@ t @
letterkunde	l E t @ r k 9 n d @
letterkundige	l E t @ r k 9 n d @ x @
letterkundiges	l E t @ r k 9 n d @ x @ s
letter	l E t @ r
letterlike	l E t @ r l @ k @
letterlik	l E t @ r l @ k
letters	l E t @ r s
lettertipes	l E t @ r t i p @ s
leuenaar	l 2: n A: r
leuen	l 2: @ n
leuens	l 2: @ n s
leun	l 2: n
leunstoel	l 2: n s t u l
leuse	l 2: s @
leviete	l @ f i t @
lewe	l i@ v @
lewende	l i@ v @ n d @
lewendige	l i@ v @ n d @ x @
lewendiger	l i@ v @ n d @ x @ r
lewendig	l i@ v @ n d @ x
lewend	l i@ v @ n t
lewensbeskouing	l i@ v @ n s b @ s k @u @ N
lewensbeskoulike	l i@ v @ n s b @ s k @u l @ k @
lewensdekking	l i@ v @ n s d { k @ N
lewensduur	l i@ v @ n s d y r
lewensgehalte	l i@ v @ n s x @ h\ a l t @
lewensgeskiedenis	l i@ v @ n s x @ s k i d @ n @ s
lewensgevaarlike	l i@ v @ n s x @ f A: r l @ k @
lewensgevaar	l i@ v @ n s x @ f A: r
lewensiklus	l i@ v @ n s i k l 9 s
lewenskrag	l i@ v @ n s k r a x
lewenskragtige	l i@ v @ n s k r a x t @ x @
lewenslange	l i@ v @ n s l a N @
lewenslank	l i@ v @ n s l a N k
lewenslig	l i@ v @ n s l @ x
lewens	l i@ v @ n s
lewenslustige	l i@ v @ n s l 9 s t @ x @
lewensnoodsaaklike	l i@ v @ n s n u@ t s A: k l @ k @
lewensomstandighede	l i@ v @ n s O m s t a n d @ x h\ i@ d @
lewensoriënteringleerareaverklaring	l i@ v @ n s u@ r i E n t i@ r @ N l i@ r a r i A: f @ r k l A: r @ N
lewensoriëntering	l i@ v @ n s u@ r i E n t i@ r @ N
lewenspeil	l i@ v @ n s p @i l
lewenssiklus	l i@ v @ n s i k l 9 s
lewenstandaard	l i@ v @ n s t a n d A: r t
lewenstyle	l i@ v @ n s t @i l @
lewenstyl	l i@ v @ n s t @i l
lewensuitkyk	l i@ v @ n s 9y t k @i k
lewensvaardighede	l i@ v @ n s f A: r d @ x h\ i@ d @
lewensvatbaarheid	l i@ v @ n s f a t b A: r h\ @i t
lewensvatbaar	l i@ v @ n s f a t b A: r
lewensvatbare	l i@ v @ n s f a t b A: r @
lewensverhaal	l i@ v @ n s f @ r h\ A: l
lewensverlies	l i@ v @ n s f @ r l i s
lewensversekeraar	l i@ v @ n s f @ r s i@ k @ r A: r
lewensversekeraars	l i@ v @ n s f @ r s i@ k @ r A: r s
lewensversekering	l i@ v @ n s f @ r s i@ k @ r @ N
lewensvorme	l i@ v @ n s f O r m @
lewensvorm	l i@ v @ n s f O r m
lewenswandel	l i@ v @ n s v a n d @ l
lewenswerklike	l i@ v @ n s v { r k l @ k @
lewenswyse	l i@ v @ n s v @i s @
lewering	l i@ v @ r @ N
lewer	l i@ v @ r
lewisstrukture	l i@ v @ s t r 9 k t y r @
liaisons	l i @i z @ n s
liasseer	l i a s i@ r
libanese	l i b a n i@ s @
liberaal	l @ b @ r A: l
liberale	l @ b @ r A: l @
liberalisering	l @ b @ r a l i s i@ r @ N
liberalisme	l @ b @ r a l @ s m @
libido	l i b i d u
libiese	l @ b i s @
lib	l i b
lidlande	l @ t l a n d @
lid	l @ t
lidmaat	l @ t m A: t
lidmaatskap	l @ t m A: t s k a p
lidmate	l @ t m A: t @
lidstate	l @ t s t A: t @
lidwoorde	l @ t v u@ r d @
lidwoord	l @ t v u@ r t
liedboek	l i t b u k
liedere	l i d @ r @
liederlike	l i d @ r l @ k @
liedjie	l i k i
liedjieskrywer	l i k i s k r @i v @ r
liedjieskrywers	l i k i s k r @i v @ r s
liedjies	l i k i s
lied	l i t
liefdadigheid	l i f d A: d @ x h\ @i t
liefdadigheidsorganisasie	l i f d A: d @ x h\ @i t s O r x a n i s A: s i
liefdadigheidsorganisasies	l i f d A: d @ x h\ @i t s O r x a n i s A: s i s
liefde	l i f d @
liefdesdriehoek	l i f d @ s d r i h\ u k
liefdesgebod	l i f d @ s x @ b O t
liefdeslewe	l i f d @ s l i@ v @
liefdes	l i f d @ s
liefdesverhaal	l i f d @ s f @ r h\ A: l
liefdesverhale	l i f d @ s f @ r h\ A: l @
liefdesverhouding	l i f d @ s f @ r h\ @u d @ N
liefdevolle	l i f d @ f O l @
liefdevol	l i f d @ f O l
liefgehad	l i f x @ h\ A: t
liefhebber	l i f h\ E b @ r
liefhebbers	l i f h\ E b @ r s
liefhet	l i f h\ E t
liefie	l i f i
lief	l i f
lieflike	l i f l @ k @
liefs	l i f s
liefste	l i f s t @
lieg	l i x
lier	l i r
liesbesering	l i s b @ s i@ r @ N
lies	l i s
liewe	l i v @
liewer	l i v @ r
liewers	l i v @ r s
liga	l i x a
ligamente	l i x a m E n t @
ligawedstryd	l i x a v E t s t r @i t
ligbloues	l @ x b l @u @ s
ligblou	l @ x b l @u
ligbron	l @ x b r O n
ligbruin	l @ x b r 9y n
ligdag	l @ x d a x
liggaamlike	l @ x A: m l @ k @
liggaamlikheid	l @ x A: m l @ k h\ @i t
liggaamlik	l @ x A: m l @ k
liggaam	l @ x A: m
liggaamsbou	l @ x A: m s b @u
liggaamsdeel	l @ x A: m s d i@ l
liggaamselle	l @ x A: m s { l @
liggaamslengte	l @ x A: m s l E N t @
liggaamsmassa	l @ x A: m s m a s a
liggaamsvet	l @ x A: m s f E t
liggame	l @ x A: m @
liggeel	l @ x i@ l
liggende	l @ x @ n d @
liggewigkampioen	l @ x @ v @ x k a m p i u n
liggewig	l @ x @ v @ x
liggie	l @ x i
liggies	l @ x i s
ligging	l @ x @ N
lighartige	l @ x h\ a r t @ x @
ligloop	l @ x l u@ p
lig	l @ x
ligmikroskoop	l @ x m i k r u s k u@ p
ligpunt	l @ x p 9 n t
ligswaargewig	l @ x s w A: r x @ v @ x
ligtelik	l @ x t @ l @ k
ligte	l @ x t @
ligter	l @ x t @ r
ligweg	l @ x v { x
likeur	l @ k 2: r
likiditeit	l @ k i d i t @i t
likiede	l @ k i d @
likkewane	l @ k @ v A: n @
likwidasie	l @ k w @ d A: s i
likwidasies	l @ k w @ d A: s i s
likwideer	l i k w i d i@ r
limfkliere	l @ m f k l i r @
limf	l @ m f
limiet	l @ m i t
limousine	l @ m u z i n
lineêr	l @ n i { r
linie	l i n i
liniêre	l @ n i { r @
linkerarm	l @ N k @ r a r @ m
linkerbeen	l @ N k @ r b i@ n
linkerbrein	l @ N k @ r b r @i n
linkerhand	l @ N k @ r h\ a n t
